id,premise,hypothesis,lang_abv,language,label
a2a8b36437,"Ως αποτέλεσμα, οι υπεύθυνοι λήψης αποφάσεων και οι κυβερνητικοί διαχειριστές υιοθετούν νέους τρόπους σκέψης, εξετάζουν διαφορετικούς τρόπους επίτευξης στόχων και χρησιμοποιούν νέες πληροφορίες για να καθοδηγήσουν τη λήψη αποφάσεων.",Οι κυβερνητικοί αξιωματούχοι αρνούνται να αλλάξουν τον τρόπο ζωής τους.,el,Greek,2
ca2570d90c,Boti kama hizo zilibuniwa kushughulikia ujio wa meli zinazoingia.,Meli hizo zilibuniwa ili iwe rahisi kupata meli zifuatazo.,sw,Swahili,0
89fdd6de05,aga aaaaaaaaaaaaaaaaaaaa animal birds birds birds and others,"Yes, petting and other things.",en,English,0
fc9b9e81ec,"Sijawahi kuelewa ni kwa nini maandishi ya kimataifa hayatumiwi katika kamusi ya Kiingereza ya aina, lakini ni zaidi ya upeo wa maneno yetu katika hakiki hii.",Maoni haya ni kidogo kwa hivyo hakuna mjadala wa kwanini waandishi wa kigeni hawatumii kamusi kwa Kiingereza.,sw,Swahili,0
aa6feee06e,争端，管理现在都指向做的这些食物券，当然也可以转向基本福利 —— TANF。,政府还没有提到任何有关食品券或是福利的事。,zh,Chinese,2
14fa262750,The almost downtown neighborhood of Masabilele (Foberg de Massabile) is sometimes described as the most picturesque in the city.,The Massabielle district is considered the most photogenic.,en,English,0
7e89da4ba3,4) Not enough is known about how non-transportation costs vary by distance.,One way to affect the cost of long-distance transportation is that we do not have enough information.,en,English,0
6bb2d551f1,I wonder we have so much in politics here,I am surprised that many of them are not in politics here.,en,English,2
8540c11e37,Die soziale Sicherheit umfasst keine konzipierten oder spezialisierten Programme für Regierungsangestellte wie Renten und andere Rentensysteme.,Die soziale Sicherheit beinhaltet nicht nur einen Plan für Bundesangestellte.,de,German,0
1589ccaac1,The draft treaty is Tommy's bait.,The contract bait was not for Tommy.,en,English,2
8289cdfc7d,"Thus, the number of manufacturers can actually grow faster than expected.",The number of boilers will be drastically reduced as expected.,en,English,2
b277ab420e,Je regarde une fille dans une parka en cuir blanc avec des bottes,La fille porte tout en rouge.,fr,French,2
792afbd06a,عمارت کی سب سے مشہور خصوصیت غار ہتھیاروں سے وابستہ ہے۔,भवन में एक बहुत बड़ा वैठेश्वर है।,ur,Urdu,1
43b978ef75,Diğerleri tüketicileri tatmin etmiyor.,Diğerleri yeterli.,tr,Turkish,2
80001fec89,"As long as Assad lives, he can manage these problems and maintain an agreement with Israel.","As long as Assad dies, he will be able to handle matters.",en,English,0
d999bfa2a1,The four children Javis? Severn asked.,Severn knows all about Jarvis's children.,en,English,1
d4dd5ba80d,My brain refuses to order properly.,My brain commands me incorrectly,en,English,0
ad4b9214af,"""So your daughter writes that your little goodbye activity didn't go so well, did it?"" he chuckled.",Your farewell activity did not go well.,en,English,0
126018a551,"उसने आश्चर्य में देखा, फिर अपने विचारों को देखा, और धोखा देने के लिए बैठ गया।",वह उनकी अपेक्षाओं के बारे में बहादुर था।,hi,Hindi,1
097b4dfe2a,You have to go through this).,You need to pass on foot.,en,English,0
b0c2761b43,"No, I exclaimed in surprise.","""no!"" I screamed in shock.",en,English,0
61f15fd66d,"Mnamo Mei 1, tunapaswa kukamilisha uteuzi mpya wa washiriki wa wachangiaji mnamo 1991.","Kuna fursa kwa washiriki 1,500 kurudia.",sw,Swahili,1
12840a5edd,电视晚餐带来了糟糕的污点。,电视上的人只吃早餐和午餐 。,zh,Chinese,2
714a367262,"Die Unfähigkeit zu kommunizieren ist eine Schlüsselkomponente in den Absturzstellen von World Trade Center, Pentagon und Somerset, Pennsylvania, auf die viele Abteilungen und Gerichtsbarkeiten reagiert haben.",Für die Menschen im World Trade Center war es schwierig zu kommunizieren.,de,German,0
37c01740c6,"Bauerstein was at Styles on that fateful night and added, ""He said twice, 'This changes everything.' And I thought.",Style is responsible for what happens.,en,English,1
3d3149ec45,"For a long time - or far away, or whatever - was there a world called This? and another called Earth.",Erath is the only world that has ever existed.,en,English,2
6c12f1e611,"Then, all the time, that was in the spill pot in Mrs. Englethorpe's bedroom, under our noses? I cried.","So he was hiding in another country, was it impossible for us to find him?",en,English,2
9832b523a0,"Because I have to do this all the time, so I just give money to others to do this, and they do it, they cut, fertilize, um, um, I think I'm going to do some beautification this year.",I never developed a love for gardening.,en,English,1
71bcd59dd6,- He's a bit obsessed with his sauce.,The sauce is so complicated that she is obsessed with making every ingredient perfect.,en,English,1
aab0894630,"But today children are not only a bit of happiness, but also the best symbol of success and worldly status.",Today's children are a symbol of success and dignity and so are their parents.,en,English,1
bda3f7467b,"Lorsqu'elle est correctement mise en œuvre, cette méthode fournit une garantie satisfaisante que le voyage a bien lieu.",L'approche vous montre le voyage qui a eu lieu.,fr,French,0
7ca8ba219d,The civil war in China sent painful echoes to Hong Kong.,Japan fought a civil war.,en,English,2
e5c40e04ec,ولكن الآن يمكن أن يكون دم المخ.,سرعان ما توصلت دولة ما إلى استنتاج بشأن موقفها.,ar,Arabic,0
c69352547f,Die Postleitzahl kann auf mehreren Routen verwendet werden.,Jede Postleitzahl wird nur auf einer Route verwendet.,de,German,2
cc18ec8d15,حسنًا ، أنا في تكساس وهناك مدرس مات بسبب الإيدز,لم أذهب إلى تكساس من قبل.,ar,Arabic,2
05ab8a9326,لم تصل الروح الليبرالية السائدة في أوروبا إلى إسبانيا إلا بعد فوات الأوان.,لم تكن إسبانيا أبدًا بهذا الليبرالية.,ar,Arabic,2
24444bd5df,"Тази реакция е за ваша сметка и интересна реакция и когато има изобилие от тримери, в сравнение с равновесното съотношение на хексамера към тримера, тя ще потече рязко до равновесие чрез синтезиране на хексамер. ,","Ако тази реакция е непокътната, тя в крайна сметка достига до равновесие.",bg,Bulgarian,0
e390988e6f,"The seven grants flow from a new program to build nonprofit capacity in the organization, and it is part of a trend among philanthropists to provide funds to help organizations grow stronger, rather than the program services they provide.","The grant comes from a non-profit capacity building program of the foundation, which reflects the trend of philanthropists to donate money to develop and take over the organization.",en,English,1
9e42108ae0,"Or, eligibility may be restricted to those who are already pregnant, or at least sexually active; Whose age is 13 years or less than 21 years; Or some combination thereof.",The age of consent is also 21 years old.,en,English,1
26ef4fcb0c,"La complexité de la soumission française ne le dérange pas du tout, car il n'a pas essayé de l'utiliser.",Il n'essaye pas parce qu'il n'a aucune motivation.,fr,French,1
7fa1543ed0,La Maison Blanche changera-t-elle d'avis?,La Maison Blanche changera-t-elle d'avis?,fr,French,0
2b2010a718,"Με την ευκολότερη αφομοίωση για την κοινότητα Anglo, μόνο τα προτεσταντικά σχολεία δέχτηκαν τα παιδιά τους. Οι Εβραίοι της Ανατολικής Ευρώπης έχουν αποφοιτήσει από το πλούσιο Westmount ή έχουν μετακομίσει στο Τορόντο.",Οι Εβραίοι ενσωματώθηκαν εύκολα στην αγγλική κοινότητα.,el,Greek,0
4acead92d8,"In this case, bringing Steve Jobs back to save Apple is like bringing Gene.",Steve Jobs returned to Apple.,en,English,0
12127455a8,"И они лучше? «Ты боишься странного заговорщика Бадада? Что беспокоит тебя, Питер? Я никогда не видел, чтобы ты испугался. Пуля выстрелила позади них.","Я никогда не видел, чтобы Питер ничего не боялся.",ru,Russian,0
89467c0148,إنها كلمة مرضية واحدة وكلمة عادية ، وليست كلمة قانونية ، تسبب المشاكل ويجب تجنبها.,الرضا عن الذات ليس مشكلة.,ar,Arabic,2
7b6768c074,"Or they had someone sick at home that they had to look after, I mean you can't do it with everyone",They had nothing to do.,en,English,2
de5351757f,ฝั่งตรงข้ามของพิพิธภัณฑ์ดนตรีคือพิพิธภัณฑ์ดนตรีและศูนย์แสดงคอนเสิร์ตสุดยอด,ซีนอนเป็นคอนเสิร์ตที่สำคัญ,th,Thai,0
11788e6295,"from generation to generation (Michiko Kakutani, New York Times). A few, like Pearl K. Bell in the Wall Street Journal, find a sweet and docile obedience in the novel and say that the parts are dangerous at the fringes of affection.",He complained that the novel had no emotion.,en,English,2
5aabaf3da7,Дано скоро има нови новини.,Не ми говори повече!,bg,Bulgarian,2
75cbac107c,"Hey, no problem, great politics.","No worries, good policy.",en,English,0
bbd3930178,"Dies ist Fanny Flono, aufgewachsen in Ag Augusta, Georgia, und wird einige ihrer Kindheitserinnerungen teilen.",Fannie Flono kann heute trotz ihres vollen Terminkalenders mit uns sprechen.,de,German,1
5b09f9eabb,"The metro (subway) is the fastest way to get around the city, but buses, both in the capital and in other major cities, are best for taking the sights.",Taking the subway is a great way to experience the great city life.,en,English,2
97ca4170dd,"Моят герой е Ричард Хеселщайн, президент на тръстовия инвестиционен тръст, който подаде оставка по-рано този месец в нарушение на бизнес плана на шефа си.",Hazeltein напусна работата си.,bg,Bulgarian,0
c5c2c039e5,"They were so sure of themselves that they took it for granted that they were wrong. """,They simply assumed he made a mistake.,en,English,0
b02c0e148c,यह संगीत डीलरों के लिए एक रहस्य नहीं है।,म्यूजिक डीलर इस बारे में अस्पष्ट हैं।,hi,Hindi,2
604b64ca7f,I am in the Plano school system and living in Richardson and there is a real conflict in terms of the educational and economic background of the children attending this school.,There are huge numbers of poor students and very few rich ones.,en,English,1
e66e2e370a,El artículo de Stevenson muestra una falta básica de comprensión de lo que implica nuestra campaña.,"Aunque Stevenson ha viajado con nosotros en una campaña, su copia deja en claro que no le importaba ninguna campaña, ni siquiera a un nivel muy básico.",es,Spanish,1
716eeeea2a,"Good thing we're just closing, I don't think we need to do anything else","That's all, we just hang up, right?",en,English,0
5de2aa81ed,"They took advantage of natural resources, using salt to process the fish they exported to their homeland.",They used salt to treat the fish and brought them home.,en,English,0
6e108e3994,"Ich und ich lieben einige ihrer Songs, aber da ich im Allgemeinen zustimme, würde ich mich auch nicht für Rap entscheiden.","Ich bin kein Rap-Fan, aber ich mag einige der Songs.",de,German,0
f0e86993ca,"The news scolds computer users for choosing obvious, easy-to-use passwords and distinct system administrators to ignore key security precautions.",The media does not blame users or system administrators for security breaches.,en,English,2
aae865505c,Newsweek กล่าวว่านักท่องเที่ยวและคนดังแห่กันไปที่ Patagonia ครั้งหนึ่งเคยเป็นที่หลบภัยสำหรับพวกนาซีในการหลบหนี,โรงแรมใหม่ถูกสร้างขึ้นใน Patagonia เพื่อรองรับนักท่องเที่ยว,th,Thai,1
b3c705a914,"Fortunately for them, it tests them correctly.",It shows that they were correct.,en,English,0
99b71d209e,Too bad he chose to use McIntyre instead.,MacIntyre was chosen to be used as a closing bowl.,en,English,1
dd63e67222,哦我明白这里的气氛了,我不喜欢这种风格,zh,Chinese,0
fc0a6ac2f5,"Sein offizieller Name war Flavian Amphitheatre, nach dem Namen seines Schöpfers Vespasian.","Niemand weiß, wie das Pozzuoli Amphitheater heißt.",de,German,2
6211b5072d,"Alikuwa na mvuto katika mapinduzi ya Cuba, na Kaiser alichukua picha na akaenda kwa Jeshi la Hewa la Andrews kule Washington.",Mtu mmoja tu alikufa katika mzozo wa Cuba,sw,Swahili,1
8bbc9fd459,"and the other is the price, which is almost excessive to bring it to a dealer",It is cheap to bring it to the dealer.,en,English,2
3c2e8a360d,ALL HEART POLITICS - policies that provide insurance over the entire life of the insurer and income (face amount) are paid only on the death of the insurer.,"For those who expect to live up to 90 years of age, a full life policy is the best option.",en,English,1
b1ad9fb1ef,"2466, discussing four groups, including certification of the minimum number of microwave connections to operate and operate and maintain readable computer databases.",2466 discusses four collections.,en,English,0
7cc9bb38f9,"Haven Woman, who provides shelter and access to victims of domestic violence, already has a full-time lawyer.",The women's shelters already have in-house lawyers.,en,English,0
a8bcd9ccf7,uh high humidity,Air with increased water content.,en,English,0
6c2527b960,"Trong trường hợp của US 11, liên lạc bình thường cuối cùng từ máy bay là 8:13 sáng.",Không có thông tin liên lạc cho 11 tháng 11.,vi,Vietnamese,2
80f6ac92a4,"We need to look at the impact of these different roles in different disciplines, such as SES core competencies, performance standards, recruitment sources, mobility and training and development programs.",We can completely ignore the impact of the role in the movement.,en,English,2
eb04f1a8f0,"Yes, yes, yes, because that's how they look, but the boy has a lot of things going on there",There is another layer on the surface.,en,English,0
e7ad6c38fc,"In this case, the cost of the service will be considered along with the cost of the better service.","In this case, the cost of doing the work will not be taken into account.",en,English,2
ca2f6459bd,Is there appropriate information to assess the generalization?,Output information is a highly integrated method.,en,English,1
212fc2ad66,Political cleansing that did not take place in the impeachment process leaves Clinton with a heavy and serious burden.,Clinton's husband is also involved in the charge.,en,English,1
df8998b7a7,嗯，我的祖父母总是非常非常的有爱心，而我的父母也是，我们在下边享受美好时光。,我的祖父母是一对非常恩爱的夫妻。,zh,Chinese,0
d5249d1219,"I don't remember living here for only eight years, but I do remember coming home from work since I lived in the Valley and could see the city of Dallas",I have only been here for two years.,en,English,2
a38659ed31,"In the 1980s and 1990s, the United States managed to invest more by attracting foreign funding.",America can save more than it invested in the 1980s and 90s.,en,English,2
ceedd25541,"Nếu bất cứ ai có phiên bản 1984, họ sẽ buồn khi mua cuốn sách này thay vì phiên bản nhỏ hơn (và đắt hơn).",Các chi phí phụ rẻ hơn so với cuốn sách.,vi,Vietnamese,0
73fff19324,Les dije que mi hermana viene.,Culpé a mi hermana.,es,Spanish,0
8f448b8aa5,Entró a los Estados Unidos hoy el 9 de septiembre de 1991 con una visa de turista B-2 en Nueva York.,Ajay tenía una visa de turista cuando fue a Estados Unidos.,es,Spanish,0
a49ecd3734,Reputation is a critical factor and Jim Lehrer owns it.,Everyone will believe what Jim Lehrer said.,en,English,1
952a08b1f3,There must be someone here who knew more about this world than he did.,He knew that he was the only person no one knew what was going on.,en,English,2
8a4a9c16be,"Эти коды были удалены в 2003 году; Теперь всем вопросам, связанным с международным терроризмом, присвоен код - 315.","Все вопросы, связанные с терроризмом, имеют высокий приоритет.",ru,Russian,1
73dce915f0,La notification doit être envoyée à l'avocat et au tribunal ou à l'organe administratif de l'opposition.,L'avocat adverse et la cour s'attendent à recevoir des avis légaux.,fr,French,1
e1e92f6499,"Ο Πρόεδρος Κένεντι είπε στον πιλότο: Κύριοι, τραβήξτε καλές φωτογραφίες.",Ο Κένεντι δεν τους γνώριζε.,el,Greek,2
4c7b129507,ہمارے پاس جو ایکڑ کے لئے ہے ، ہاں یہ عجیب ہے کیوں کہ ہمارے پاس ہے,یہ کوئی مذاق نہیں ہے ، ہمارے پاس صرف ایک مربع فٹ اراضی ہے۔,ur,Urdu,2
ef98cc7a44,"The scorecard contained measurements for accuracy, speed and timeliness, unit costs, customer satisfaction and employee development and satisfaction.",Accuracy and speed are the first measurements mentioned on the scorecard.,en,English,1
247c31cc1f,Γνωρίζω λοιπόν ότι πηγαίνετε στο επίπεδο της φροντίδας και της φροντίδας των άλλων.,Ξέρω ότι δεν ενδιαφέρεστε καθόλου για τους ανθρώπους.,el,Greek,2
2fa7d36591,"Το First Wives Club είναι αστείο, με τρεις εγκαταλελειμμένους συζύγους να λαμβάνουν περισσότερα βραβεία το πρώτο Σαββατοκύριακο άλλων ταινιών στην ιστορία.",Ηθοποιοί και ηθοποιοί συνέβαλαν περισσότερους από έναν δίσκους για το ρεκόρ First Seniors Club για τις πωλήσεις ταινιών.,el,Greek,1
ee747eb8ca,"في الواقع ، كلمة quark في قاموس أكسفورد هي فعل يعني ذلك ""التشاؤم"" مع إشارات إلى ملك القرن التاسع عشر البائس كوبكا.",معظم الناس لا يعرفون أصل كلمة كوارك وهي تشير إلى الضوضاء الصادرة عن الضفادع.,ar,Arabic,1
dd883e1f46,"To the left of the entrance ramp is an open space once occupied by the Temple of Athena, the ruins of the Pergamon library.",There are no visible debris from the ramp.,en,English,2
ab87e8abac,Wie geht die Zeitung Colorado Springs mit lokalen Interessen um?,"Denken Sie, dass lokale Zeitungen nicht daran interessiert sind, was die Bürger sagen?",de,German,1
640c0172a6,"If you want to learn Israeli folk dance, B Mongi Ha'etim Cellar will teach you on Heftman Street.",The Bicurei Ha'etim Curtain is the only place to learn the dances of the people of Israel.,en,English,1
c4e8713899,"Και ο Σέρλοκ Χολμς; """,War es Sherlock Holmes?,en,English,0
c776773683,"Мы привыкли слышать, что американские компании жалуются на иностранную конкуренцию, что обвинения, выдвинутые Kodak после его поражения, являются еще одним раздражением.",Американские компании реагируют на иностранную конкуренцию.,ru,Russian,0
a14e13370f,"Although the two cities are not rail-separated, this is about to change rapidly.",There was no railway between the two cities.,en,English,0
39d065817a,The tourist information office can be very useful.,Tourist information offices are never useful.,en,English,2
101dc2c1bb,"A detailed implementation plan will also be needed to address business processes, processes and resource issues.","Comprehensive implementation plans are essential to address the business system, processes and resources",en,English,0
b645ab43a4,迪拜是一个可以轻松到达主要机场，旅行社，酒店和西方商业机构的现代化城市，是一个理想的中转站。,迪拜是中转站的首选。,zh,Chinese,1
7df831c8e2,Θα επιτύχουμε τους στόχους μας.,Θα φτάσουμε πολύ κοντά στον στόχο.,el,Greek,2
0c338feb50,"First, injected cannabinoids may not reflect the effects of smoked marijuana.",Smoking marijuana people get more from injections of cannabinoids.,en,English,1
617f1dc5f2,"The data will be presented as necessary additional management information accompanying the consolidated financial statements of the federal government, but not in separate reports of its constituent units.",The data are included in individual reports on the components of the federal government.,en,English,2
8adeb402ee,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"Chapter 5 ""Freras Cultural Center and Poipet River Valley Scenery"".",en,English,1
162467ddeb,"Tất nhiên, FDNY không chịu trách nhiệm chỉ đạo phản ứng của thành phố đối với các trường hợp khẩn cấp, như thị trưởng giải thích.",Việc quản lý đề xuất của thành phố được xử lý bởi các tổ chức phi FDNY.,vi,Vietnamese,0
6595e3320d,"Παρά τον εντυπωσιακό αριθμό, οι υποτροφίες είναι συχνά σημαντικές για την πρόσληψη κορυφαίων φοιτητών με οικονομικές ανάγκες.",Δεν προσφέρουμε υποτροφίες ή οικονομική υποστήριξη για φοιτητές.,el,Greek,2
a7a2a9fc5e,"Interest rate - The price per unit of money charged, or the price charged per second unit of time, is usually expressed as one percent.",Interest rates can range from zero to fifteen percent.,en,English,1
e7bc15b1b9,"It's weird that jack is right, oh it's a funny story",I will enjoy telling that story.,en,English,1
f50208a07e,"Mr. Erlenborne holds bachelor's degrees from Notre Dame University, Indiana University, University of Illinois and Chicago's Lewala University.",Mr. Erlenbourne has taken courses at at least four different universities.,en,English,0
00ddb7aea4,"So, unlike those lucky enough to hire a lawyer and maybe go to another lawyer, our clients get lost in the legal system if they can't access it from us.",Our clients can pay lawyers and switch between lawyers.,en,English,2
b0ee325483,"Finally, the woman weakly opened her eyes.",He opened his eyes.,en,English,0
b332076fc2,当然，假定法律中存有量子不确定性是相当激进的想法，但这似乎不是不可能。,一些认为法律中存在量子不确定性的人可能是激进分子。,zh,Chinese,1
a5484dd197,The softest is the Great Tomb / Pillar on the roof of the absalom (son of King David).,Absalom's tomb / pillar has a large cone-shaped roof.,en,English,0
d68455eccf,اس ہفتے کی پیشکش کین اسٹار کی متاثر کن محبت کے بڑے اسٹار کے بارے میں ہے ، جو صدارتی لیموزین ، اوول آفس اور یہاں تک کہ لائنر روم میں بھی رومانس گنتے ہوں گے!,سائل وائٹ ہاؤس کے بارے میں پہلے ہی جانتا ہے,ur,Urdu,0
34cd54592e,เมื่อทรายก่อตัวขึ้นทรายก็เดินไปในทางเดียวกันจากนั้นก็แผ่ไปที่ขอบโต๊ะ,แซนด์พบรถปราบดิน,th,Thai,1
0393073e4a,"Unless the mention of the Ritz is an accidental comment? """,Is the mention of the Ritz hotel accidental?,en,English,0
09b8ecb23f,These are the four sentences you always put in plagiarized papers to derail the professor.,These four sentences force teachers to skip the paragraph and accidentally omit plagiarism information.,en,English,1
a9ee3935c9,"Χτίστηκε μεταξύ 688 και 691 μ.Χ. Και είναι διακοσμημένο με χιλιάδες ωραία περσικά πλακάκια, τα περισσότερα από τα οποία είναι μπλε και κίτρινο, και η πόρτα είναι χαραγμένη με κορανικές εικόνες.",Υπάρχουν 100.000 πλακάκια στον τοίχο.,el,Greek,1
0477c22e6d,The man says he was robbed on the way and disappeared without money or tickets for his flight to an airport somewhere in Europe or the Middle East.,He claimed he had been robbed on the way and had no money or plane tickets.,en,English,0
3074381515,"Taking into account the popular neoclassical style at the time, it was planned to be a symbol of Scottish national pride in the 1820s and was designed as a small penthouse.",It was designed to be a smaller version of the Parthenon.,en,English,0
fc11d4b8cb,Ο Ogle είπε με τόσο κρύα και απότομη χάλυβα φωνή που ο σταθμός σας βρίσκεται στο κατάστρωμα.,Ο Όγκλ είναι πάντα στο όπλο.,el,Greek,1
489847e94d,Although demand information provides the most accurate information about healthy use. But it's important to follow up to get enough information from the patients' own reports because many people don't report alcohol-related incidents to insurance companies.,Alcohol-related illnesses are often not reported by patients to insurance companies.,en,English,0
a235cb04e1,Would you talk about this in terms of the social consequences of chewing gum in a public place?,I understand you have no idea of ​​chewing gum in public.,en,English,2
772391afdf,An H-2A worker must leave the country and is subject to deportation for non-compliance.,Agent H-2A committed a crime.,en,English,1
e90c9dda0f,The researchers discovered expected stresses such as loss of control over letters and illnesses from loved ones.,"The stress affected people, as researchers expected.",en,English,0
9f89cd56c7,"Relajo също може да опише хумористични отношения, мистериозен завой напред-назад, който облекчава напрежението със смях и изтрива причината за моменталното напрежение.",Relajo вицове за икономиката.,bg,Bulgarian,1
8c3a69f486,You have to go through it).,You can live anywhere.,en,English,2
836766ea05,The 28 states representing the kings of Judah and Israel were reconstructed according to Viollet-le-Duc's drawings; The originals were demolished during the revolution because they were considered kings of France.,The man who took down the statue was executed.,en,English,1
ee546513c1,ठीक है! शायद आप समझा सकते हैं? वेरवर्स्टोन कहाँ था?,मैं चाहता हूं कि आप अपने आप को समझाएं! मुझे पता है कि आप जानते हैं कि वॉल्वरस्टोन कहां है।,hi,Hindi,1
ba01e23d88,"Kwa kuwa mimi ni Scotsman mwenye kiburi, ninahisi kuwa sababu kuu ya kukosekana kwa tamaa ya lugha ilianzishwa kwa njia hii iko katika nchi zao.","Kwa sababu ya ukosefu wa mahitaji ya lugha, lugha za kikanda zinawezekana.",sw,Swahili,0
648feccb3d,Kaadan closed the door behind them and left.,"As soon as Kidan entered, he closed the door and locked it with a rope.",en,English,0
b23bdc1a30,Small towns like Louisiana lay scattered all over the Oil Fields; the main train line branched between them.,A main train line has passed across all small towns.,en,English,0
bf6fb470ee,"Авторы языка, которые пишут книги все время, мягко говоря, заставляют их взгляды, иногда либеральные.","Большинство лингвистов пишут книги, чтобы продвигать мнение других.",ru,Russian,2
b5ca4c01f3,i think people who are Um type people have low income that you can directly with lower education,I think higher income equals lower education.,en,English,2
44bad2a664,Be assured,"Be happy, because the beer time is near.",en,English,1
5594f92e61,"When reviewing this story, it is important to make some important differences.",There is no point in analyzing the past.,en,English,2
970707c7f5,At 71 km the Black River is the longest in Jamaica. This was an arterial route along which rum and timber were transported from the inland plantations.,The Rio Negro got its name because the water in its stream is actually black.,en,English,1
3fa01b03f8,in our city of five thousand we have one which is a local FM AM station and their information is powered by CNN also uh is more than uh,The town radio station has never relied on any national news source.,en,English,2
2c9359d401,Il n'explosera pas sans détonateurs.,L'activation entraîne son exposition.,fr,French,0
