,id,premise,hypothesis,lang_abv,language,label
20,d8b3a4fb06,"In the north of Mytilene, stop in the village of Moria, where you will find the ruins of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,en,English,2
21,ad5a79456e,An increase in savings by the present generations will increase the country's capital reserves and enable future generations to better cover the country's retirement costs while enjoying a higher standard of living.,"The growing savings of the current generations will increase the reserves of the country's capital, which will enable future generations to more easily pay the country's retirement prices while also enjoying a higher standard of living.",en,English,0
22,a7b0b9498c,"This is just the beginning! """,An incredible journey is about to begin!,en,English,1
23,1ec4761d9d,"Уверяю вас, сэр, я все полностью осознавал.",Многие подробности от меня были скрыты.,ru,Russian,2
24,17c1f14619,"The UK's best-selling newspaper, The Sun, announced Friday for the first time in the world that Texas model Jerry Hall had filed for divorce from aging rock star Mick Jagger in front of London's Supreme Court.",The sun makes millions of fake news every year.,en,English,1
25,f5f4dc48c1,Savonarola burned in Florence,Florence has become the new Savanora home.,en,English,2
26,6a98a077a5,"It will be short! """,It will be huge.,en,English,0
27,00c0cdf348,Người tuyệt vời nhất và xa nhất từng phát triển giọng nói của Prince of War.,Giọng Chúa xa cách và lạnh lùng.,vi,Vietnamese,0
28,8b8a91643a,27 La dificultad aumenta a medida que hay que modificar la caldera para adaptar el SCR a la instalación.,27 Las dificultades dependen de la enmienda.,es,Spanish,0
29,655cc51991,The guys are talking here.,He said the men are not here.,en,English,2
30,a2a8b36437,"Ως αποτέλεσμα, οι υπεύθυνοι λήψης αποφάσεων και οι κυβερνητικοί διαχειριστές υιοθετούν νέους τρόπους σκέψης, αναζητούν διαφορετικούς τρόπους επίτευξης στόχων και χρησιμοποιούν νέες πληροφορίες για να καθοδηγήσουν τη λήψη αποφάσεων.",Οι κυβερνητικοί αξιωματούχοι αρνούνται να αλλάξουν τον τρόπο ζωής τους.,el,Greek,2
31,ca2570d90c,Boti kama hizo zilibuniwa kutoshea kuwasili kwa meli zinazoingia.,Meli hizo zimeundwa ili kurahisisha kupata meli zifuatazo.,sw,Swahili,0
32,89fdd6de05,Aaaaaaaaaaaaaaaaaaaaaa birds birds and other animals aga,"Yes, petting and so on.",en,English,0
33,fc9b9e81ec,"Sikuelewa kamwe kwa nini maandishi ya kimataifa hayakutumika katika kamusi ya lugha ya Kiingereza ya aina fulani, lakini iko nje ya safu yetu ya maneno katika hakiki hii.","Maoni haya ni mdogo, kwa hivyo hakuna ubishi kwa nini waandishi wa kigeni hawatumii kamusi za Kiingereza.",sw,Swahili,0
34,aa6feee06e,争端，管理现在都指向做的这些食物券，当然也可以转向基本福利 —— TANF。,政府还没有提到任何有关食品券或是福利的事。,zh,Chinese,2
35,14fa262750,The neighborhood near the town of Masabilele (Foberg de Massabile) is sometimes described as the most beautiful in the city.,Massabielle is considered the most picturesque.,en,English,0
36,7e89da4ba3,4) Not enough is known about how distance shipping costs differ.,One way to affect the cost of long-distance transportation is that we don't have enough information.,en,English,0
37,6bb2d551f1,I wonder there is a lot in politics here,I am surprised that many of them do not get into politics here.,en,English,2
38,8540c11e37,"Die soziale Sicherheit umfasst keine Programme, die für öffentliche Angestellte konzipiert oder spezialisiert sind, wie z. B. Renten und andere Pensionspläne.",Soziale Sicherheit ist nicht nur Enthält aber einen Plan nur für Bundesangestellte,de,German,0
39,1589ccaac1,The draft treaty is Tommy's bait.,The promised victim was not for Tommy.,en,English,2
40,8289cdfc7d,So the number of manufacturers may actually grow faster than expected.,The number of boilers will decrease significantly as expected.,en,English,2
41,b277ab420e,Je regarde une fille dans une parka en cuir blanc avec des bottes,La fille porte tout en rouge.,fr,French,2
42,792afbd06a,عمارت کی سب سے مشہور خصوصیت غار ہتھیاروں سے وابستہ ہے۔,भवन में एक बहुत बड़ा वैतेश्वर है।,ur,Urdu,1
43,43b978ef75,Diğerleri tüketicileri tatmin etmiyor.,Diğerleri yeterli.,tr,Turkish,2
44,80001fec89,"As long as Assad lives, he can manage these problems and reach an agreement with Israel.","Until Assad dies, he will deal with the situation.",en,English,0
45,d999bfa2a1,The four Javis children? Severn asked.,Verne knows everything about Jarvis's child.,en,English,1
46,d4dd5ba80d,My brain refuses to order properly.,My brain commanded me incorrectly,en,English,0
47,ad4b9214af,"""So your daughter writes that her little farewell activity didn't go so well, did it?"" He chuckled.",Your farewell event did not go well.,en,English,0
48,126018a551,"उसने आश्चर्य में देखा, फिर अपने विचारों को देखा, और धोखा देने के लिए बैठ गया।",वह उनकी उम्मीदों में बहादुर था।,hi,Hindi,1
49,097b4dfe2a,You have to go through that).,You need to pass on foot.,en,English,0
50,b0c2761b43,"No, I was surprised.","""No!"" I screamed in shock.",en,English,0
51,61f15fd66d,"Mnamo Mei 1, 1991, lazima tukamilishe uteuzi mpya wa washiriki wanaoshiriki.","Inawezekana kwa washiriki 1,500 kurudia.",sw,Swahili,1
52,12840a5edd,电视晚餐带来了糟糕的污点。,电视上的人只吃早餐和午餐 。,zh,Chinese,2
53,714a367262,"Mangelnde Kommunikation ist eine Schlüsselkomponente des World Trade Centers, des Pentagon und von Somerset, Pennsylvania, in Bereichen, in denen sich viele Abteilungen und Gerichtsbarkeiten getroffen haben.",Für die Menschen im World Trade Center war es schwierig zu kommunizieren.,de,German,0
54,37c01740c6,"Bauerstein was at Styles that fateful night and added, ""he said twice, 'That changes everything. ""And I thought.",Style is responsible for what happens.,en,English,1
55,3d3149ec45,"For a long time - or far away, or whatever - was there a world called This? and another called Earth.",Erath is the only world that ever existed.,en,English,2
56,6c12f1e611,"Then, all the time, that the spill pot was in Mrs. Anglethorpe's bedroom under our noses? I cried.","So he hid in another country, is it impossible for us to meet him?",en,English,2
57,9832b523a0,"Because I have to do this all the time, so I just give money to others to do it, and they do it, cut, fertilize, um, um, I think I'm going to do a little beautification this year.",I have never developed a love of gardening.,en,English,1
58,71bcd59dd6,- He's a little obsessed with his sauce.,The sauce is so hard that he is busy making every ingredient perfect.,en,English,1
59,aab0894630,"But today, children are not only a little bit of happiness, but also the best symbol of success and worldly status.","Today's children are symbols of success and dignity, as are their parents.",en,English,1
60,bda3f7467b,"Lorsqu'elle est correctement mise en œuvre, cette méthode offre une garantie satisfaisante que le voyage aura lieu.",Les perspectives vous montrent le voyage qui a eu lieu.,fr,French,0
61,7ca8ba219d,The civil war in China has sent painful echoes to Hong Kong.,Japan fought a civil war.,en,English,2
62,e5c40e04ec,لكن الآن يمكن أن يكون دم المخ.,سيصل قريبًا إلى نتيجة حول موقف قطري.,ar,Arabic,0
63,c69352547f,Die Postleitzahl kann auf mehreren Routen verwendet werden.,Jede Postleitzahl wird nur auf einer Route verwendet.,de,German,2
64,cc18ec8d15,حسنًا ، أنا في تكساس وهناك مدرس مات بسبب الإيدز.,لم أذهب إلى تكساس من قبل.,ar,Arabic,2
65,05ab8a9326,الروح الليبرالية السائدة في أوروبا لا تصل إلى إسبانيا إلا بعد فوات الأوان.,لم تكن إسبانيا أبدًا بهذا الليبرالية.,ar,Arabic,2
66,24444bd5df,"Тази реакция е за ваша сметка и е интересна реакция и когато има голям брой тримери в сравнение с равновесното съотношение на хексамера към тримера, тя ще тече рязко към равновесие поради синтеза на хексамера. ,,","Ако тази реакция е непокътната, тя в крайна сметка достига равновесие.",bg,Bulgarian,0
67,e390988e6f,All seven grants are derived from new programs to build nonprofit capacity in organizations and are part of a wave of philanthropic funding to help organizations grow stronger rather than services. Program that they provide,"The grant comes from a non-profit capacity building program of the foundation, which reflects the trend of philanthropists to donate money to develop and take over the organization.",en,English,1
68,9e42108ae0,"Or it may be limited to those who are pregnant, or at least who have sex, who are 13 or under 21, or a combination of some.",The age of consent is also 21 years.,en,English,1
69,26ef4fcb0c,"La complexité de la présentation française ne le dérangeait pas du tout, car il n'avait pas essayé de l'utiliser.",Il n'essaye pas parce qu'il n'a aucune motivation.,fr,French,1
70,7fa1543ed0,La Maison Blanche changera-t-elle d'avis?,La Maison Blanche changera-t-elle d'avis?,fr,French,0
71,2b2010a718,"Με την απλούστερη αφομοίωση για την κοινότητα Anglo, μόνο τα προτεσταντικά σχολεία δέχτηκαν τα παιδιά τους. Οι Εβραίοι της Ανατολικής Ευρώπης αποφοίτησαν από τον εύπορο Westmount ή μετακόμισαν στο Τορόντο.",Οι Εβραίοι ενσωματώνονται εύκολα στη βρετανική κοινότητα.,el,Greek,0
72,4acead92d8,"In this case, bringing Steve Jobs back to save Apple is like bringing in Gene.","Steve Jobs, Apple'a döndü.",en,English,0
73,12127455a8,"И они лучше? «Ты боишься странного заговорщика Бадада? Что тебя беспокоит, Питер? Я никогда не видел, чтобы он боялся. Позади них была выпущена пуля.","Я никогда не видел, чтобы Питер чего-то боялся.",ru,Russian,0
74,89467c0148,إنها كلمة مرضية واحدة وكلمة عادية ، وليست كلمة قانونية ، تسبب المشاكل ويجب تجنبها.,الرضا عن النفس ليس مشكلة.,ar,Arabic,2
75,7b6768c074,"Or they had someone at home sick to take care of. I mean, you can't do it to everyone",They had nothing to do.,en,English,2
76,de5351757f,ฝั่งตรงข้ามของ Music Museum คือพิพิธภัณฑ์ดนตรีขนาดใหญ่และห้องแสดงคอนเสิร์ต,ซีนอนเป็นคอนเสิร์ตที่สำคัญ,th,Thai,0
77,11788e6295,"From generation to generation (Mishiko Kakutani, New York Times) in the Wall Street Journal, something like Pearl's Bell finds a sweet and polite obedience in the novel and says that parts of it are as dangerous as love.",He complained that the novel has no emotions.,en,English,2
78,5aabaf3da7,Дано скоро има нови новини.,Не ми говори повече!,bg,Bulgarian,2
79,75cbac107c,"Hey, no problem, great politics.","Don't worry, good policy.",en,English,0
80,bbd3930178,"Dies ist Fanny Flono, die in Ag Augusta, Georgia, aufgewachsen ist und einige ihrer Kindheitserinnerungen teilen wird.",Fanny Flono kann heute trotz ihres vollen Terminkalenders mit uns sprechen.,de,German,1
81,5b09f9eabb,"The subway is the fastest way to get around the city, but buses, both in the capital and other major cities, are the best way to see the sights.",Taking the subway is a great way to experience the beautiful city life.,en,English,2
82,97ca4170dd,"Моят герой е Ричард Хеселщайн, президент на Trust Investment Trust, който подаде оставка по-рано този месец в нарушение на бизнес плана на шефа си.",Хазелтейн напусна работата си.,bg,Bulgarian,0
83,c5c2c039e5,"They were so sure of themselves that they took it for granted that they were wrong. """,They simply assumed he made a mistake.,en,English,0
84,b02c0e148c,यह संगीत डीलरों के लिए एक रहस्य नहीं है।,म्यूजिक एजेंट इस बारे में स्पष्ट नहीं हैं।,hi,Hindi,2
85,604b64ca7f,I am in the Plano school system and living in Richardson and there is a real conflict in terms of educational and economic background of the children attending this school.,There are large numbers of poor and very few rich students.,en,English,1
86,e66e2e370a,El artículo de Stevenson muestra una falta fundamental de comprensión de lo que implica nuestra campaña.,"Aunque Stevenson ha viajado con nosotros en la campaña, su copia muestra claramente que no le importaba ninguna campaña, incluso a un nivel muy básico.",es,Spanish,1
87,716eeeea2a,"It's good that we've just finished, I don't think we need to do anything else","That's all, we just cut, right?",en,English,0
88,5de2aa81ed,"They exploited natural resources, using salt to process the fish that they had exported back to their homeland.",They used salt to treat the fish and brought them home.,en,English,0
89,6e108e3994,"Ich und ich lieben einige ihrer Songs, aber da ich im Allgemeinen zustimmen kann, würde ich mich auch nicht für Rap entscheiden.","Ich mag keinen Rap, aber ich mag einige von ihnen.",de,German,0
90,f0e86993ca,"The news is rebuking computer users for choosing clear, easy-to-use passwords, and superior system administrators for ignoring key security precautions.",Media does not blame users or system administrators for security breaches.,en,English,2
91,aae865505c,นิวส์วีคกล่าวว่านักท่องเที่ยวและคนดังเคยมาถึงปาตาโกเนียเพื่อเป็นที่หลบภัยของพวกนาซี,โรงแรมแห่งใหม่กำลังสร้างขึ้นใน Patagonia เพื่อให้บริการนักท่องเที่ยว,th,Thai,1
92,b3c705a914,"Fortunately for them, it tests them correctly.",It shows that they were correct.,en,English,0
93,99b71d209e,Too bad he chose to use McIntyre instead.,The MacIntyre was chosen for use as a cover bowl.,en,English,1
94,dd63e67222,哦我明白这里的气氛了,我不喜欢这种风格,zh,Chinese,0
95,fc0a6ac2f5,"Sein offizieller Name ist das Flavian Amphitheatre, nach seinem Schöpfer Vespasian.","Niemand weiß, wie das Pozzuoli-Stadion heißt.",de,German,2
96,6211b5072d,"Alikuwa muhimu katika Mapinduzi ya Cuba, na Kaiser alipiga picha na kwenda kwa Andrews Air Force huko Washington.",Ni mtu mmoja tu aliyekufa katika vita vya Cuba,sw,Swahili,1
97,8bbc9fd459,"and the other is the price, which is almost excessive to bring to a dealer",It is cheap to bring it to the dealer.,en,English,2
98,3c2e8a360d,"ALL HEART POLICIES - Policies that provide insurance for the entire life of the insurer, and income (prepayment amount) is paid only upon death of the insurer.","For those who hope to live until the age of 90, a full life policy is the best option.",en,English,1
99,b1ad9fb1ef,"The 2466 discusses four groups, including certification of the minimum number of microwave connections for running and running and maintaining readable computer databases.",2466 discusses four collections.,en,English,0
100,7cc9bb38f9,"Haven Women, which provides shelter and access to victims of domestic violence, already has a full-time attorney.",The women's shelters already have internal lawyers.,en,English,0
101,a8bcd9ccf7,Uh high humidity,Air with increased water content,en,English,0
102,6c2527b960,"Trong trường hợp của US 11, liên lạc bình thường cuối cùng từ máy bay là 8:13 sáng.",Không có tọa độ cho ngày 11 tháng 11.,vi,Vietnamese,2
103,80f6ac92a4,"We need to look at the impact of these different roles in different disciplines, such as SES core competencies, performance standards, recruitment sources, mobility and training and development programs.",We can completely ignore the impact of the role in the movement.,en,English,2
104,eb04f1a8f0,"Yes, yes, yes, because that's how they look, but the boy has a lot of things going on there",There is another layer on the surface.,en,English,0
105,e7ad6c38fc,"In this case, the cost of the service will be considered together with the cost of the better service.","In this case, the cost of performing the work will not be taken into account.",en,English,2
106,ca2f6459bd,Is there appropriate information to evaluate the generalization?,The output information is a highly integrated method.,en,English,1
107,212fc2ad66,The political cleansing that has not taken place in the impeachment process leaves Clinton with a heavy and serious burden.,Clinton's husband is also involved in the indictment.,en,English,1
108,df8998b7a7,嗯，我的祖父母总是非常非常的有爱心，而我的父母也是，我们在下边享受美好时光。,我的祖父母是一对非常恩爱的夫妻。,zh,Chinese,0
109,d5249d1219,"I don't remember living here for only eight years, but I do remember coming home from work since I lived in the valley and could see Dallas",I've only been here for two years.,en,English,2
110,a38659ed31,"In the 1980s and 1990s, the United States managed to make more investments by attracting foreign funds.",The US could save more from investment in the 1980s and 90s.,en,English,2
111,ceedd25541,"Nếu ai đã có phiên bản năm 1984, họ sẽ rất buồn khi mua cuốn sách này thay vì một phiên bản nhỏ hơn (và đắt hơn).",Các chi phí phụ rẻ hơn so với cuốn sách.,vi,Vietnamese,0
112,73fff19324,Les dije que mi hermana viene.,Culpé a mi hermana.,es,Spanish,0
113,8f448b8aa5,"Ingresó a los Estados Unidos hoy, 9 de septiembre de 1991, con una visa de turista B-2 en Nueva York.",Ajay tenía una visa de turista cuando visitó Estados Unidos.,es,Spanish,0
114,a49ecd3734,"Reputation is a key factor, and Jim Lehrer has a reputation.",Everyone will believe what Jim Lehrer said.,en,English,1
115,952a08b1f3,There must be someone here who knew more about this world than he did.,He knew he was the only one who didn't know what was going on.,en,English,2
116,8a4a9c16be,"Эти коды были удалены в 2003 году; Теперь всем вопросам, связанным с международным терроризмом, присвоен код - 315.","Все вопросы, связанные с терроризмом, имеют высокий приоритет.",ru,Russian,1
117,73dce915f0,La notification doit être envoyée à l'avocat et au tribunal ou à l'autorité administrative de l'opposition.,L'avocat adverse et la cour s'attendent à recevoir des avis légaux.,fr,French,1
118,e1e92f6499,"Ο Πρόεδρος Κένεντι είπε στον πιλότο: Κύριοι, τραβήξτε καλές φωτογραφίες.",Ο Κένεντι δεν τους γνώριζε.,el,Greek,2
119,4c7b129507,ہمارے پاس جو ایکڑ کے لئے ہے ، ہاں یہ عجیب ہے کیوں کہ ہمارے پاس ہے,یہ کوئی مذاق نہیں ہے ، ہمارے پاس صرف ایک مربع فٹ اراضی ہے۔,ur,Urdu,2
120,ef98cc7a44,"The scorecard contained measurements of accuracy, speed and timeliness, unit costs, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements mentioned on the score card.,en,English,1
121,247c31cc1f,Γνωρίζω λοιπόν ότι πηγαίνετε στο επίπεδο της φροντίδας και της φροντίδας των άλλων.,Ξέρω ότι ποτέ δεν ενδιαφέρεστε για κανέναν.,el,Greek,2
122,2fa7d36591,"Το First Wives Club είναι αστείο, με τρεις εγκαταλελειμμένους συζύγους να λαμβάνουν περισσότερα βραβεία το πρώτο Σαββατοκύριακο άλλων ταινιών στην ιστορία.",Ηθοποιοί και ηθοποιοί συνέβαλαν περισσότερους από έναν δίσκους για το ρεκόρ First Seniors Club για τις πωλήσεις ταινιών.,el,Greek,1
123,ee747eb8ca,"في الواقع ، كلمة كوارك في قاموس أوكسفورد هي فعل يعني ""تشاؤم"" مع إشارات إلى الملك البائس كوبكا في القرن التاسع عشر.",معظم الناس لا يعرفون أصل كلمة كوارك وهي تشير إلى الضوضاء التي تحدثها الضفادع.,ar,Arabic,1
124,dd883e1f46,"To the left of the entrance ramp is the open space owned by the Temple of Athena, the ruins of the Pergamon library.",There is no visible debris from the ramp.,en,English,2
125,ab87e8abac,Wie geht die Zeitung Colorado Springs mit lokalen Interessen um?,"Denken Sie, dass lokale Zeitungen nicht daran interessiert sind, was die Bürger sagen?",de,German,1
126,640c0172a6,"If you want to learn Israeli folk dance, B Mongi Ha'etim Cellar will teach you on Heftman Street.",The Bikurei Haetim Curtain is the only place where you can learn the dances of the people of Israel.,en,English,1
127,c4e8713899,"Και ο Σέρλοκ Χολμς; """,War es Sherlock Holmes?,en,English,0
128,c776773683,"Все мы слышали, что американские компании жалуются на конкуренцию за рубежом, что заявления Kodak после поражения - еще одно раздражение.",Американские компании реагируют на иностранную конкуренцию.,ru,Russian,0
129,a14e13370f,"Although the two cities are not separated by rail, this will change quickly.",There was no railroad between the two towns.,en,English,0
130,39d065817a,The tourist office can be very helpful.,Tourist information offices were never helpful.,en,English,2
131,101dc2c1bb,"A comprehensive action plan will also be needed to address business processes, processes and resource issues.","Comprehensive implementation plans are essential to address the business system, processes, and resources.",en,English,0
132,b645ab43a4,迪拜是一个可以轻松到达主要机场，旅行社，酒店和西方商业机构的现代化城市，是一个理想的中转站。,迪拜是中转站的首选。,zh,Chinese,1
133,7df831c8e2,Θα επιτύχουμε τους στόχους μας.,Θα φτάσουμε πολύ κοντά στον στόχο.,el,Greek,2
134,0c338feb50,"First, injectable cannabinoids may not reflect the effects of smoked cannabis.",Smoking marijuana people get more from injections of cannabinoids.,en,English,1
135,617f1dc5f2,"The data will be presented as required additional management information with consolidated financial statements of the federal government, but not in separate reports from its constituent units.",Data are included in individual reports on federal government data.,en,English,2
136,8adeb402ee,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"Chapter 5 ""The Freras Cultural Center and the Poipet Valley Landscape"".",en,English,1
137,162467ddeb,"Tất nhiên, FDNY không chịu trách nhiệm chỉ đạo phản ứng của thành phố đối với các trường hợp khẩn cấp, như thị trưởng tuyên bố.",Việc quản lý các đề xuất của thành phố do các tổ chức không thuộc FDNY xử lý.,vi,Vietnamese,0
138,6595e3320d,"Παρά τον εντυπωσιακό αριθμό, οι υποτροφίες είναι συχνά σημαντικές για την πρόσληψη κορυφαίων φοιτητών με οικονομικές ανάγκες.",Δεν προσφέρουμε υποτροφίες ή οικονομική βοήθεια σε φοιτητές.,el,Greek,2
139,a7a2a9fc5e,"Interest rate - Price per currency received or price per second unit of time, usually expressed as a percent.",Interest rates can range from zero to fifteen percent.,en,English,1
140,e7bc15b1b9,"It's weird that jack is right, oh it's a funny story",I will enjoy telling this story.,en,English,1
141,f50208a07e,"Mr. Erlenborne holds degrees from the University of Notre Dame, the University of Indiana, the University of Illinois and the University of Chicago Lewala.",Mr. Erlenborn has taken at least four different university courses.,en,English,0
142,00ddb7aea4,"Therefore, unlike those who are lucky enough to hire a lawyer and may go to another lawyer, if their clients cannot get legal services from us, our clients will get lost in the legal system.",Our clients can pay and switch between lawyers.,en,English,2
143,b0ee325483,Finally the woman opened her eyes weakly.,He opened his eyes.,en,English,0
144,b332076fc2,当然，假定法律中存有量子不确定性是相当激进的想法，但这似乎不是不可能。,一些认为法律中存在量子不确定性的人可能是激进分子。,zh,Chinese,1
145,a5484dd197,The sweetest is the large tomb / pillar on the roof of the absalom (son of King David).,Absalom's tomb / column has a large conical roof.,en,English,0
146,d68455eccf,اس ہفتے کی پیش کش کین اسٹار متاثر کن محبت کے بڑے اسٹار کے بارے میں ہے ، جو صدارتی لیموزین ، اوول آفس اور یہاں تک کہ لائن روم میں بھی رومانس کی پیمائش کریں گے!,سائل وائٹ ہاؤس کو پہلے ہی جانتا ہے,ur,Urdu,0
147,34cd54592e,เมื่อทรายก่อตัวขึ้นมันก็เดินไปในทิศทางเดียวกันแล้วกระจายออกไปที่ขอบโต๊ะ,ทรายพบรถปราบดิน,th,Thai,1
148,0393073e4a,"Except that mention of Ritz was an accidental comment? """,Is the Ritz Hotel mentioned by chance?,en,English,0
149,09b8ecb23f,These are four sentences you always put on plagiarized papers to get the professor off the rails.,These four sentences force teachers to skip the paragraph and accidentally omit plagiarism information.,en,English,1
150,a9ee3935c9,"Χτίστηκε μεταξύ 688 και 691 μ.Χ. Και είναι διακοσμημένο με χιλιάδες όμορφα περσικά τούβλα, τα περισσότερα από τα οποία είναι μπλε και κίτρινο, και η πόρτα είναι χαραγμένη με την Κορανική εικόνα.",Υπάρχουν 100.000 πλακίδια στον τοίχο.,el,Greek,1
151,0477c22e6d,The man says he was robbed on the way and disappeared without money or tickets for his flight to another airport in Europe or the Middle East.,He claimed that he was robbed on the way and had no money or air tickets.,en,English,0
152,3074381515,"Taking into account the neoclassical style popular at the time, it was meant to be a symbol of Scottish national pride in the 1820s and was designed as a small penthouse.",It was designed as a smaller version of the Parthenon.,en,English,0
153,fc11d4b8cb,Ο Ogle είπε με μια τόσο κρύα και απότομη ατσάλινη φωνή που ο σταθμός σας βρίσκεται στο κατάστρωμα.,Ο Όγκλ είναι πάντα στο όπλο.,el,Greek,1
154,489847e94d,Although the information on demand provides the most accurate information on healthy use. But it's important to follow up to get enough information from patients' own reports because many people don't report alcohol-related incidents to insurance companies.,Alcohol-related illnesses are often not reported by patients to insurance companies.,en,English,0
155,a235cb04e1,Would you talk about this in terms of the social consequences of chewing gum in public?,"As far as I understand, you have no idea about chewing gum in public.",en,English,2
156,772391afdf,An H-2A worker must leave the country and is subject to deportation for non-compliance.,Agent H-2A committed a crime.,en,English,1
157,e90c9dda0f,"Researchers uncovered expected stresses, such as loss of control over loved one's letters and illnesses.","Stress affected people, the researchers expected.",en,English,0
158,9f89cd56c7,"Relajo може също да опише весели връзки, загадъчни обрати назад и назад, които облекчават напрежението със смях и незабавно отстраняват причината за напрежението.",Вицове на Relajo за икономиката.,bg,Bulgarian,1
159,8c3a69f486,You have to go through it).,You can live anywhere.,en,English,2
160,836766ea05,The 28 states representing the kings of Judah and Israel were rebuilt according to the plans of Viollet-le-Duc. The originals were demolished during the revolution because they were considered kings of France.,The people who dismantled the statue were executed.,en,English,1
161,ee546513c1,ठीक है! शायद आप समझा सकते हैं? वेरवर्स्टोन कहाँ था?,मैं चाहता हूं कि आप अपने आप को समझाएं! मुझे पता है कि आप वॉल्वरस्टोन को कहां जानते हैं।,hi,Hindi,1
162,ba01e23d88,"Kwa kuwa mimi ni Mskoti mwenye kiburi, nahisi kuwa sababu kuu ya ukosefu wa udhibiti wa lugha ni hii.","Kwa sababu ya ukosefu wa mahitaji ya lugha, lugha za mkoa zinawezekana.",sw,Swahili,0
163,648feccb3d,Kaadan closed the door behind them and left.,"As soon as Kidan entered, he closed the door and locked it with a rope.",en,English,0
164,b23bdc1a30,Small towns like Louisiana are scattered throughout the oil fields. Main train lines are separated.,A major train line has passed through all the small towns.,en,English,0
165,bf6fb470ee,"Авторы языков, которые все время пишут книги, мягко говоря, навязывают свои взгляды, иногда либеральные.",Большинство лингвистов пишут книги в поддержку идей других людей.,ru,Russian,2
166,b5ca4c01f3,I think people who are Um type people have low income that you can directly with lower education,I think higher income equals lower education.,en,English,2
167,44bad2a664,Assure me,Be happy because beer time is near.,en,English,1
168,5594f92e61,"When reviewing this story, it is important to make a significant difference.",There is no point in analyzing the past.,en,English,2
169,970707c7f5,At 71 km the Black River is the longest in Jamaica. It was an arterial road that transported rum and timber from inland plantations.,The Rio Negro takes its name from the fact that the water in its stream is actually black.,en,English,1
